(c) Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ergebnisse nach Kreisen und kreisfreien Städten;;;;;;;;;;;;;;;;
Status:;Vorläufig;;;;;;;;;;;;;;;
Stand:;27.05.2019;03:05;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Gebietsart;Gebietsnummer;Gebietsname;UegGebietsart;UegGebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent;VorpAnzahl;VorpProzent;DiffProzent;DiffProzentPkt;Bemerkung
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;Tierschutzpartei;8;1;10911;1,3756;5443;0,984497;100,459306;0,391103;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;Die PARTEI;9;1;30109;3,795981;5083;0,919383;492,347039;2,876598;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;NPD;10;1;860;0,108424;2250;0,406967;-61,777778;-0,298542;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;ÖDP;11;1;5499;0,693284;1910;0,345469;187,905759;0,347815;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;FREIE WÄHLER;12;1;3384;0,426637;1641;0,296814;106,215722;0,129822;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;FAMILIE;13;1;2530;0,318969;1524;0,275652;66,010499;0,043317;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;Volksabstimmung;14;1;669;0,084344;891;0,161159;-24,915825;-0,076815;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;DKP;15;1;510;0,064298;567;0,102556;-10,05291;-0,038258;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;MLPD;16;1;352;0,044378;261;0,047208;34,8659;-0,00283;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;BP;17;1;517;0,065181;122;0,022067;323,770492;0,043114;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;SGP;18;1;85;0,010716;99;0,017907;-14,141414;-0,00719;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;TIERSCHUTZ hier!;19;1;1387;0,174866;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;Tierschutzallianz;20;1;1027;0,129479;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;Bündnis C;21;1;798;0,100608;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;BIG;22;1;2637;0,332459;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;BGE;23;1;1283;0,161754;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;DIE DIREKTE!;24;1;509;0,064172;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;DiEM25;25;1;6337;0,798935;;;;;
